title,technology_domain,assignee,filing_year,citation_count,keywords
Scalable deep neural network accelerator architecture,AI/ML,Google LLC,2018,142,"tpu,neural network,hardware accelerator"
Transformer architecture for natural language understanding,AI/ML,Google LLC,2018,310,"transformer,attention,nlp"
Deep residual networks for high-resolution image synthesis,AI/ML,NVIDIA Corporation,2018,98,"gan,residual network,computer vision"
Federated optimization for decentralized client data,AI/ML,Google LLC,2019,88,"federated learning,privacy,optimization"
Sparse transformer attention with factorized memory,AI/ML,OpenAI,2019,115,"transformer,sparsity,attention"
Neural network weight quantization and bit-shift arithmetic,AI/ML,Intel Corporation,2019,64,"quantization,inference,integer arithmetic"
Automated neural architecture search using reinforcement learning,AI/ML,Google LLC,2019,79,"nas,reinforcement learning,automl"
Multimodal representation learning with cross-attention,AI/ML,Microsoft Technology Licensing,2020,126,"multimodal,cross-attention,embeddings"
Self-supervised contrastive visual representation learning,AI/ML,Meta Platforms,2020,104,"self-supervised,contrastive learning,vision"
Denoising diffusion probabilistic models for generative media,AI/ML,Stanford University,2020,175,"diffusion,generative model,probabilistic"
Low-rank adaptation for parameter-efficient model fine-tuning,AI/ML,Microsoft Technology Licensing,2021,148,"lora,fine-tuning,parameter-efficient"
Mixture of experts routing mechanism for large language models,AI/ML,Google LLC,2021,132,"mixture of experts,routing,scaling"
Reinforcement learning from human feedback for dialogue alignment,AI/ML,OpenAI,2021,210,"rlhf,alignment,reward model"
Latent diffusion architecture for conditioned image generation,AI/ML,NVIDIA Corporation,2021,160,"latent diffusion,generative ai,latent space"
Specular neural radiance field rendering pipeline,AI/ML,NVIDIA Corporation,2022,94,"nerf,radiance fields,3d reconstruction"
Retrieval-augmented language generation with vector indexing,AI/ML,Meta Platforms,2022,118,"rag,vector database,retrieval"
Rotary position embedding for long-context sequence modeling,AI/ML,DeepMind Technologies,2022,85,"position embedding,long context,transformers"
Speculative decoding for accelerated autoregressive generation,AI/ML,DeepMind Technologies,2023,76,"speculative decoding,inference acceleration,llm"
Direct preference optimization without explicit reward modeling,AI/ML,Stanford University,2023,89,"dpo,alignment,preference optimization"
Sparse autoencoders for interpretable neural feature extraction,AI/ML,Anthropic PBC,2023,58,"interpretability,sparse autoencoder,features"
State space sequence model with hardware-aware selective scanning,AI/ML,Carnegie Mellon University,2023,67,"mamba,state space,selective scan"
Vision-language action model for autonomous robotic manipulation,AI/ML,DeepMind Technologies,2024,45,"robotics,vision-language,manipulation"
Context compression and memory caching for trillion-token context,AI/ML,Google LLC,2024,52,"context compression,kv cache,attention"
Reinforcement learning test-time compute scaling for reasoning,AI/ML,OpenAI,2024,61,"test-time compute,reasoning,mcts"
On-device neural matrix multiplication accelerator with analog memory,AI/ML,Apple Inc.,2024,38,"analog compute,matrix multiplication,edge ai"
Hierarchical diffusion transformer for real-time video generation,AI/ML,OpenAI,2024,49,"video generation,diffusion transformer,spatiotemporal"
Constitutional self-correcting alignment for autonomous agents,AI/ML,Anthropic PBC,2025,29,"ai agents,constitutional ai,self-correction"
Asymmetric cross-modal distillation for embedded vision-language,AI/ML,Apple Inc.,2025,22,"distillation,embedded,vision-language"
Dynamic mixture-of-depths token allocation for sparse inference,AI/ML,DeepMind Technologies,2025,25,"mixture of depths,adaptive compute,sparse"
Agentic tool orchestration framework with self-verification loops,AI/ML,Microsoft Technology Licensing,2025,31,"agentic,tool calling,orchestration"
Neuro-symbolic reasoning engine for formal verification,AI/ML,Microsoft Technology Licensing,2026,14,"neuro-symbolic,formal verification,logic"
Self-evolving world model for robotic spatial physics simulation,AI/ML,DeepMind Technologies,2026,12,"world models,physics,spatial intelligence"
Energy-optimal photonic tensor core for continuous inference,AI/ML,NVIDIA Corporation,2026,8,"photonic computing,tensor core,low-power"
Quantum-assisted variational neural network optimization,AI/ML,IBM,2026,6,"quantum machine learning,variational circuit,vqe"
Lipid nanoparticle formulation for modified mRNA delivery,Biotech,ModernaTX Inc.,2018,165,"mrna,lipid nanoparticle,drug delivery"
